DATE,PRODUCT,QTY_ORDER,SALES,AVG_SALES,MIN_UNIT_PRICE,MAX_UNIT_PRICE,DIFF_UNIT_PRICE,VAR_UNIT_PRICE,AVG_PRICE,TOTAL_ITEMS,AVG_ITEMS
2015-01-10,P6,13,24658.80,1896.83,1896.70,1897.00,0.30,0.02,1896.83,13,1.00
2015-01-10,P7,171,141756.95,843.79,647.19,899.00,251.81,38.91,828.93,171,1.02
2015-01-11,P2,83,68445.65,824.65,719.10,829.00,109.90,15.28,824.65,83,1.00
2015-01-11,P6,7,13277.10,1896.73,1896.70,1896.80,0.10,0.01,1896.73,7,1.00
2015-01-11,P7,108,91372.27,878.58,764.10,999.00,234.90,30.74,846.41,108,1.04
2015-01-12,P2,127,103846.54,844.28,719.10,829.00,109.90,15.28,817.32,127,1.03
2015-01-12,P6,16,30343.46,2022.90,1895.99,1897.00,1.01,0.05,1896.43,16,1.07
2015-01-12,P7,113,94858.17,862.35,764.10,899.00,134.90,17.65,839.87,113,1.03
2015-01-13,P2,119,97327.05,839.03,719.10,869.00,149.90,20.85,817.85,119,1.03
2015-01-13,P6,12,22861.90,1905.16,1895.50,1999.00,103.50,5.46,1905.16,12,1.00
2015-01-13,P7,264,220688.50,855.38,719.10,999.00,279.90,38.92,835.64,264,1.02
2015-01-14,P2,140,113698.95,817.98,711.55,829.00,117.45,16.51,812.01,140,1.01
2015-01-14,P6,7,14274.30,2039.19,1895.00,2399.00,504.00,26.60,2039.19,7,1.00
2015-01-14,P7,352,294078.19,891.15,719.10,999.00,279.90,38.92,836.24,352,1.07
2015-01-15,P2,606,451760.11,773.56,636.65,829.00,192.35,30.21,745.98,606,1.04
2015-01-15,P6,13,24666.84,1897.45,1895.00,1898.98,3.98,0.21,1897.45,13,1.00
2015-01-15,P7,34,29012.20,906.63,764.10,999.00,234.90,30.74,853.57,34,1.06
2015-01-16,P2,356,268034.43,793.00,674.10,829.00,154.90,22.98,753.75,356,1.05
2015-01-16,P6,23,43644.70,1897.60,1895.00,1898.98,3.98,0.21,1897.60,23,1.00
2015-01-16,P7,423,354457.97,858.25,687.69,849.00,161.31,23.46,838.09,423,1.02
2015-01-17,P2,220,167892.54,803.31,671.49,829.00,157.51,23.46,765.32,220,1.05
2015-01-17,P6,9,17074.90,1897.21,1895.00,1898.98,3.98,0.21,1897.21,9,1.00
2015-01-18,P2,145,112126.02,773.28,671.49,829.00,157.51,23.46,773.28,145,1.00
2015-01-18,P6,4,7595.92,1898.98,1898.98,1898.98,0.00,0.00,1898.98,4,1.00
2015-01-18,P7,117,98641.15,865.27,695.33,849.00,153.67,22.10,842.93,117,1.03
2015-01-19,P2,134,107563.55,833.83,678.95,829.00,150.05,22.10,803.89,134,1.04
2015-01-19,P6,6,11373.57,1895.60,1894.90,1898.98,4.08,0.22,1895.60,6,1.00
2015-01-19,P7,526,439741.82,870.78,719.10,849.00,129.90,18.06,836.01,526,1.04
2015-01-20,P2,112,91896.50,827.90,719.10,829.00,109.90,15.28,820.43,112,1.01
2015-01-20,P6,10,18946.10,1894.61,1894.40,1894.90,0.50,0.03,1894.61,10,1.00
2015-01-20,P7,709,590971.82,866.53,719.10,849.00,129.90,18.06,833.85,709,1.04
2015-01-21,P2,141,115250.54,829.14,719.10,839.00,119.90,16.67,817.21,141,1.01
2015-01-21,P6,20,38679.73,1933.99,1894.10,2159.10,265.00,13.99,1933.99,20,1.00
2015-01-21,P7,728,608147.72,868.78,719.10,849.00,129.90,18.06,835.51,728,1.04
2015-01-22,P2,115,94198.73,826.30,719.10,869.00,149.90,20.85,819.03,115,1.01
2015-01-22,P6,14,26515.29,1893.95,1893.69,1894.20,0.51,0.03,1893.95,14,1.00
2015-01-22,P7,569,475556.22,864.65,719.10,849.00,129.90,18.06,835.59,569,1.03
2015-01-23,P2,92,76435.10,849.28,719.10,879.00,159.90,22.24,830.86,92,1.02
2015-01-23,P6,15,28402.18,2028.73,1893.45,1893.49,0.04,0.00,1893.48,15,1.07
2015-01-23,P7,745,621831.80,866.06,719.10,999.00,279.90,38.92,835.15,745,1.04
2015-01-24,P2,90,75888.50,914.32,719.10,879.00,159.90,22.24,841.15,90,1.08
2015-01-24,P6,7,13253.75,1893.39,1893.35,1893.44,0.09,0.00,1893.39,7,1.00
2015-01-24,P7,623,517698.70,864.27,719.10,999.00,279.90,38.92,830.86,623,1.04
2015-01-25,P2,48,41421.00,862.94,788.00,879.00,91.00,11.55,862.94,48,1.00
2015-01-25,P6,5,9466.78,1893.36,1893.35,1893.38,0.03,0.00,1893.36,5,1.00
2015-01-25,P7,459,385861.90,874.97,719.10,999.00,279.90,38.92,840.54,459,1.04
2015-01-26,P2,74,62558.50,845.39,719.10,879.00,159.90,22.24,845.39,74,1.00
2015-01-26,P6,7,13253.48,1893.35,1893.35,1893.38,0.03,0.00,1893.35,7,1.00
2015-01-26,P7,726,608260.00,895.82,719.10,849.00,129.90,18.06,837.90,726,1.07
2015-01-27,P2,117,96710.44,826.58,719.10,879.00,159.90,22.24,826.58,117,1.00
2015-01-27,P6,6,11394.55,1899.09,1893.20,1928.00,34.80,1.84,1899.09,6,1.00
2015-01-27,P7,656,547905.80,885.15,719.10,899.90,180.80,25.14,835.90,656,1.06
2015-01-28,P2,163,132899.50,830.62,719.10,829.00,109.90,15.28,815.08,163,1.02
2015-01-28,P6,6,11359.17,1893.20,1893.19,1893.20,0.01,0.00,1893.20,6,1.00
2015-01-28,P7,457,380449.10,854.94,719.10,899.00,179.90,25.02,832.50,457,1.03
2015-01-29,P2,93,74197.57,797.82,719.10,839.90,120.80,16.80,797.82,93,1.00
2015-01-29,P6,2,3786.24,1893.12,1893.05,1893.19,0.14,0.01,1893.12,2,1.00
2015-01-29,P7,794,644049.77,889.57,654.38,849.00,194.62,29.74,812.96,794,1.10
2015-01-30,P2,110,88130.42,801.19,654.38,829.00,174.62,26.68,801.19,110,1.00
2015-01-30,P6,7,13251.14,1893.02,1893.00,1893.05,0.05,0.00,1893.02,7,1.00
2015-01-30,P7,600,492451.29,882.53,695.33,849.00,153.67,22.10,821.47,600,1.08
2015-01-31,P2,43,35628.87,828.58,719.10,879.00,159.90,22.24,828.58,43,1.00
2015-01-31,P6,5,9464.91,1892.98,1892.98,1892.99,0.01,0.00,1892.98,5,1.00
2015-01-31,P7,412,337827.28,875.20,719.10,899.00,179.90,25.02,821.34,412,1.07
2015-02-01,P2,51,43739.10,892.63,719.10,879.00,159.90,22.24,858.39,51,1.04
2015-02-01,P6,3,5678.20,1892.73,1892.70,1892.80,0.10,0.01,1892.73,3,1.00
2015-02-01,P7,309,257595.45,888.26,719.10,899.00,179.90,25.02,834.38,309,1.07
2015-02-02,P2,76,64360.55,881.65,719.10,879.00,159.90,22.24,845.53,76,1.04
2015-02-02,P6,5,9464.55,1892.91,1892.63,1893.90,1.27,0.07,1892.91,5,1.00
2015-02-02,P7,745,623925.19,867.77,719.10,899.00,179.90,25.02,838.10,745,1.04
2015-02-03,P2,97,83485.10,917.42,791.10,879.00,87.90,11.11,861.66,97,1.07
2015-02-03,P6,293,487336.72,1740.49,1499.00,1892.62,393.62,26.26,1663.16,293,1.05
2015-02-03,P7,844,707832.60,863.21,719.10,849.00,129.90,18.06,838.67,844,1.03
2015-02-04,P1,10,14990.00,1499.00,1499.00,1499.00,0.00,0.00,1499.00,10,1.00
2015-02-04,P2,71,59888.05,843.49,719.10,879.00,159.90,22.24,843.49,71,1.00
2015-02-04,P3,1,1499.00,1499.00,1499.00,1499.00,0.00,0.00,1499.00,1,1.00
2015-02-04,P6,364,604466.83,1669.80,1499.00,1890.48,391.48,26.12,1660.60,364,1.01
2015-02-04,P7,666,557405.77,858.87,719.10,849.00,129.90,18.06,836.63,666,1.03
2015-02-05,P1,12,17688.20,1474.02,1349.10,1499.00,149.90,11.11,1474.02,12,1.00
2015-02-05,P2,44,36775.35,855.24,719.10,879.00,159.90,22.24,835.98,44,1.02
2015-02-05,P3,3,4497.00,1499.00,1499.00,1499.00,0.00,0.00,1499.00,3,1.00
2015-02-05,P6,18,32208.90,1789.38,1665.56,1890.45,224.89,13.50,1789.38,18,1.00
2015-02-05,P7,660,550507.20,866.94,719.10,899.00,179.90,25.02,834.46,660,1.04
2015-02-06,P1,21,31254.15,1488.29,1349.10,1499.00,149.90,11.11,1488.29,21,1.00
2015-02-06,P2,71,60088.30,858.40,719.10,879.00,159.90,22.24,845.85,71,1.01
2015-02-06,P3,5,7495.00,1499.00,1499.00,1499.00,0.00,0.00,1499.00,5,1.00
2015-02-06,P6,56,96202.13,1749.13,1499.00,1887.00,388.00,25.88,1714.82,56,1.02
2015-02-06,P7,770,634861.38,852.16,719.10,999.00,279.90,38.92,824.45,770,1.03
2015-02-07,P1,4,5996.00,1499.00,1499.00,1499.00,0.00,0.00,1499.00,4,1.00
2015-02-07,P2,71,58695.39,838.51,719.10,879.00,159.90,22.24,827.09,71,1.01
2015-02-07,P3,4,5996.00,1499.00,1499.00,1499.00,0.00,0.00,1499.00,4,1.00
2015-02-07,P6,11,20754.06,1886.73,1886.73,1886.75,0.02,0.00,1886.73,11,1.00
2015-02-07,P7,1058,840137.66,858.16,654.38,899.00,244.62,37.38,797.12,1058,1.08
2015-02-08,P1,7,10493.00,1499.00,1499.00,1499.00,0.00,0.00,1499.00,7,1.00
2015-02-08,P2,30,25029.10,834.30,791.10,879.00,87.90,11.11,834.30,30,1.00
2015-02-08,P3,3,4212.19,1404.06,1349.10,1499.00,149.90,11.11,1404.06,3,1.00
2015-02-08,P6,3,5660.12,1886.71,1886.70,1886.72,0.02,0.00,1886.71,3,1.00
2015-02-08,P7,883,709374.22,862.99,660.56,849.00,188.44,28.53,805.47,883,1.07
2015-02-09,P1,5,7420.05,1484.01,1424.05,1499.00,74.95,5.26,1484.01,5,1.00
2015-02-09,P2,42,34775.82,828.00,827.99,828.00,0.01,0.00,828.00,42,1.00
2015-02-09,P3,7,10493.00,1499.00,1499.00,1499.00,0.00,0.00,1499.00,7,1.00
2015-02-09,P6,8,15099.20,1887.40,1886.64,1892.68,6.04,0.32,1887.40,8,1.00
2015-02-09,P7,642,535134.12,865.91,719.10,849.00,129.90,18.06,833.60,642,1.04
2015-02-10,P1,10,13940.70,1394.07,1349.10,1499.00,149.90,11.11,1394.07,10,1.00
2015-02-10,P2,51,42708.23,837.42,719.10,879.00,159.90,22.24,837.42,51,1.00
2015-02-10,P3,5,7495.00,1499.00,1499.00,1499.00,0.00,0.00,1499.00,5,1.00
2015-02-10,P6,15,28880.15,2062.87,1886.00,2469.05,583.05,30.91,1928.11,15,1.07
2015-02-10,P7,1149,934686.22,855.16,719.10,899.00,179.90,25.02,813.59,1149,1.05
2015-02-11,P1,11,15659.30,1423.57,1259.10,1499.00,239.90,19.05,1423.57,11,1.00
2015-02-11,P2,76,64881.59,876.78,789.00,879.00,90.00,11.41,854.21,76,1.03
2015-02-11,P3,9,12906.39,1434.04,1349.10,1499.00,149.90,11.11,1434.04,9,1.00
2015-02-11,P6,11,20746.45,2074.64,1885.98,1886.63,0.65,0.03,1886.05,11,1.10
2015-02-11,P7,2624,2067485.38,897.74,647.19,899.00,251.81,38.91,791.58,2624,1.14
2015-02-12,P1,16,22914.40,1432.15,1259.10,1499.00,239.90,19.05,1432.15,16,1.00
2015-02-12,P2,73,62871.46,924.58,791.10,879.00,87.90,11.11,859.95,73,1.07
2015-02-12,P3,8,11287.47,1410.93,1349.10,1499.00,149.90,11.11,1410.93,8,1.00
2015-02-12,P6,4,8569.88,2142.47,1885.91,2399.00,513.09,27.21,2142.47,4,1.00
2015-02-12,P7,1415,1146954.04,882.95,584.23,899.00,314.77,53.88,812.02,1415,1.09
2015-02-13,P1,7,10318.05,1474.01,1399.00,1499.00,100.00,7.15,1474.01,7,1.00
2015-02-13,P2,45,38892.19,864.27,791.10,879.00,87.90,11.11,864.27,45,1.00
2015-02-13,P3,3,4497.00,1499.00,1499.00,1499.00,0.00,0.00,1499.00,3,1.00
2015-02-13,P6,5,12195.00,2439.00,2399.00,2599.00,200.00,8.34,2439.00,5,1.00
2015-02-13,P7,753,623354.78,889.24,687.69,899.00,211.31,30.73,828.16,753,1.07
2015-02-14,P1,10,14375.15,1437.52,1259.10,1499.00,239.90,19.05,1437.52,10,1.00
2015-02-14,P2,51,44139.38,882.79,788.00,879.00,91.00,11.55,865.21,51,1.02
2015-02-14,P3,2,2998.00,1499.00,1499.00,1499.00,0.00,0.00,1499.00,2,1.00
2015-02-14,P6,2,4798.00,2399.00,2399.00,2399.00,0.00,0.00,2399.00,2,1.00
2015-02-14,P7,622,508972.62,846.88,719.10,899.00,179.90,25.02,818.55,622,1.03
2015-02-15,P1,2,2998.00,1499.00,1499.00,1499.00,0.00,0.00,1499.00,2,1.00
2015-02-15,P2,30,25939.29,894.46,791.10,879.00,87.90,11.11,867.18,30,1.03
2015-02-15,P3,6,8544.30,1424.05,1349.10,1499.00,149.90,11.11,1424.05,6,1.00
2015-02-15,P6,3,7197.00,2399.00,2399.00,2399.00,0.00,0.00,2399.00,3,1.00
2015-02-15,P7,419,345209.32,854.48,719.10,899.00,179.90,25.02,824.31,419,1.04
2015-02-16,P1,7,10493.00,1499.00,1499.00,1499.00,0.00,0.00,1499.00,7,1.00
2015-02-16,P2,43,37357.50,933.94,791.10,879.00,87.90,11.11,870.21,43,1.08
2015-02-16,P3,4,5996.00,1499.00,1499.00,1499.00,0.00,0.00,1499.00,4,1.00
2015-02-16,P6,2,4798.00,2399.00,2399.00,2399.00,0.00,0.00,2399.00,2,1.00
2015-02-16,P7,597,494538.47,869.14,719.10,949.00,229.90,31.97,828.92,597,1.05
2015-02-17,P1,4,5996.00,1499.00,1499.00,1499.00,0.00,0.00,1499.00,4,1.00
2015-02-17,P2,35,29519.69,894.54,788.00,879.00,91.00,11.55,846.06,35,1.06
2015-02-17,P3,6,8923.99,1487.33,1428.99,1499.00,70.01,4.90,1487.33,6,1.00
2015-02-17,P6,4,9596.00,4798.00,2399.00,2399.00,0.00,0.00,2399.00,4,2.00
2015-02-17,P7,522,435466.18,879.73,719.10,949.00,229.90,31.97,834.60,522,1.05
2015-02-18,P1,15,22035.10,1469.01,1349.10,1499.00,149.90,11.11,1469.01,15,1.00
2015-02-18,P2,33,26970.92,842.84,787.99,879.00,91.01,11.55,817.00,33,1.03
2015-02-18,P3,8,11857.09,1693.87,1364.09,1499.00,134.91,9.89,1479.73,8,1.14
2015-02-18,P6,2,4798.00,2399.00,2399.00,2399.00,0.00,0.00,2399.00,2,1.00
2015-02-18,P7,1392,1130270.80,864.12,655.82,849.00,193.18,29.46,812.44,1392,1.06
2015-02-19,P1,14,20986.00,1499.00,1499.00,1499.00,0.00,0.00,1499.00,14,1.00
2015-02-19,P2,52,45322.18,871.58,787.00,879.00,92.00,11.69,871.58,52,1.00
2015-02-19,P3,5,7495.00,1499.00,1499.00,1499.00,0.00,0.00,1499.00,5,1.00
2015-02-19,P6,3,6444.01,2148.00,1885.91,2399.00,513.09,27.21,2148.00,3,1.00
2015-02-19,P7,912,756459.47,899.48,719.10,1049.00,329.90,45.88,830.36,912,1.08
2015-02-20,P1,8,11792.00,1474.00,1399.00,1499.00,100.00,7.15,1474.00,8,1.00
2015-02-20,P2,98,81122.50,891.46,746.10,879.00,132.90,17.81,827.14,98,1.08
2015-02-20,P3,16,23909.05,1494.32,1424.05,1499.00,74.95,5.26,1494.32,16,1.00
2015-02-20,P6,4,9596.00,2399.00,2399.00,2399.00,0.00,0.00,2399.00,4,1.00
2015-02-20,P7,705,588078.05,880.36,719.10,899.00,179.90,25.02,835.13,705,1.06
2015-02-21,P1,9,12727.38,1590.92,1349.10,1499.00,149.90,11.11,1420.04,9,1.12
2015-02-21,P2,94,75998.75,844.43,716.67,829.00,112.33,15.67,808.42,94,1.04
2015-02-21,P3,8,11752.00,1469.00,1419.00,1499.00,80.00,5.64,1469.00,8,1.00
2015-02-21,P6,10,23700.20,2370.02,2159.10,2399.00,239.90,11.11,2370.02,10,1.00
2015-02-21,P7,771,631865.26,872.74,719.10,899.00,179.90,25.02,821.07,771,1.06
2015-02-22,P1,8,11992.00,1499.00,1499.00,1499.00,0.00,0.00,1499.00,8,1.00
2015-02-22,P2,32,25439.30,794.98,746.10,857.00,110.90,14.86,794.98,32,1.00
2015-02-22,P3,2,2838.00,1419.00,1419.00,1419.00,0.00,0.00,1419.00,2,1.00
2015-02-22,P6,2,4798.00,2399.00,2399.00,2399.00,0.00,0.00,2399.00,2,1.00
2015-02-22,P7,542,449858.27,863.45,655.82,849.00,193.18,29.46,829.81,542,1.04
2015-02-23,P1,13,18720.38,1440.03,1214.19,1499.00,284.81,23.46,1440.03,13,1.00
2015-02-23,P2,16,13106.98,819.19,787.00,869.00,82.00,10.42,819.19,16,1.00
2015-02-23,P3,7,10132.94,1447.56,1438.99,1499.00,60.01,4.17,1447.56,7,1.00
2015-02-23,P6,2,4798.00,4798.00,2399.00,2399.00,0.00,0.00,2399.00,2,2.00
2015-02-23,P7,963,798376.52,888.07,696.86,899.00,202.14,29.01,829.85,963,1.07
2015-02-24,P1,6,8661.82,1443.64,1298.73,1499.00,200.27,15.42,1443.64,6,1.00
2015-02-24,P2,104,82666.26,861.11,708.79,829.00,120.21,16.96,798.01,104,1.08
2015-02-24,P3,5,7360.09,1472.02,1364.09,1499.00,134.91,9.89,1472.02,5,1.00
2015-02-24,P6,3,7077.05,3538.52,2279.05,2399.00,119.95,5.26,2339.02,3,1.50
2015-02-24,P7,970,790669.92,893.41,687.69,899.00,211.31,30.73,817.06,970,1.10
2015-02-25,P1,5,7395.00,1479.00,1399.00,1499.00,100.00,7.15,1479.00,5,1.00
2015-02-25,P2,330,261576.16,807.33,683.15,799.00,115.85,16.96,792.78,330,1.02
2015-02-25,P3,6,8559.29,1426.55,1349.10,1499.00,149.90,11.11,1426.55,6,1.00
2015-02-25,P6,3,6615.05,2205.02,1817.05,2399.00,581.95,32.03,2205.02,3,1.00
2015-02-25,P7,636,529781.07,908.72,696.86,899.00,202.14,29.01,832.66,636,1.09
2015-02-26,P1,81,107330.48,1731.14,1180.48,1499.00,318.52,26.98,1334.47,81,1.31
2015-02-26,P2,271,214973.45,802.14,719.10,829.00,109.90,15.28,793.20,271,1.01
2015-02-26,P3,7,10343.10,1477.59,1349.10,1499.00,149.90,11.11,1477.59,7,1.00
2015-02-26,P6,6,10766.15,1794.36,1553.51,2399.00,845.49,54.42,1794.36,6,1.00
2015-02-26,P7,634,527735.04,883.98,687.69,899.00,211.31,30.73,832.57,634,1.06
2015-02-27,P1,14,18811.37,1343.67,1180.48,1499.00,318.52,26.98,1343.67,14,1.00
2015-02-27,P2,153,121946.55,802.28,692.10,829.00,136.90,19.78,797.22,153,1.01
2015-02-27,P3,9,13491.00,1499.00,1499.00,1499.00,0.00,0.00,1499.00,9,1.00
2015-02-27,P6,159,266843.24,1721.57,1328.26,1703.41,375.15,28.24,1683.48,159,1.03
2015-02-27,P7,527,440020.09,876.53,719.10,899.00,179.90,25.02,835.69,527,1.05
2015-02-28,P1,8,11437.19,1429.65,1349.10,1499.00,149.90,11.11,1429.65,8,1.00
2015-02-28,P2,146,116325.90,813.47,692.10,829.00,136.90,19.78,797.08,146,1.02
2015-02-28,P3,10,14718.68,1471.87,1227.68,1499.00,271.32,22.10,1471.87,10,1.00
2015-02-28,P6,11,18680.28,1698.21,1550.10,1884.66,334.56,21.58,1698.21,11,1.00
2015-02-28,P7,660,545190.30,858.57,647.19,849.00,201.81,31.18,826.75,660,1.04
2015-03-01,P1,14,19726.47,1409.03,1214.19,1499.00,284.81,23.46,1409.03,14,1.00
2015-03-01,P2,148,118167.30,809.37,678.95,829.00,150.05,22.10,798.29,148,1.01
2015-03-01,P3,13,19217.18,1478.24,1364.09,1499.00,134.91,9.89,1478.24,13,1.00
2015-03-01,P6,2,4798.00,2399.00,2399.00,2399.00,0.00,0.00,2399.00,2,1.00
2015-03-01,P7,1077,839097.28,962.27,627.17,899.00,271.83,43.34,792.49,1077,1.24
2015-03-02,P1,22,31650.39,1438.65,1299.00,1499.00,200.00,15.40,1438.65,22,1.00
2015-03-02,P2,226,177639.80,807.45,692.10,829.00,136.90,19.78,786.25,226,1.03
2015-03-02,P3,17,24583.60,1536.48,1349.10,1499.00,149.90,11.11,1452.16,17,1.06
2015-03-02,P6,1,2399.00,2399.00,2399.00,2399.00,0.00,0.00,2399.00,1,1.00
2015-03-02,P7,1384,1115825.98,873.10,687.69,849.00,161.31,23.46,807.86,1384,1.08
2015-03-03,P1,38,51862.00,1401.68,1226.25,1499.00,272.75,22.24,1364.85,38,1.03
2015-03-03,P2,271,208932.35,779.60,671.49,829.00,157.51,23.46,770.94,271,1.01
2015-03-03,P3,7,10493.00,1499.00,1499.00,1499.00,0.00,0.00,1499.00,7,1.00
2015-03-03,P6,11,23990.00,2180.91,2159.10,2399.00,239.90,11.11,2180.91,11,1.00
2015-03-03,P7,2734,2180786.81,877.58,714.89,899.00,184.11,25.75,798.03,2734,1.10
2015-03-04,P1,60,81477.50,1357.96,1226.25,1362.50,136.25,11.11,1357.96,60,1.00
2015-03-04,P2,173,132475.09,774.71,671.49,829.00,157.51,23.46,765.98,173,1.01
2015-03-04,P3,14,20686.20,1591.25,1349.10,1499.00,149.90,11.11,1475.94,14,1.08
2015-03-04,P6,135,230261.09,1705.64,1533.07,2159.10,626.03,40.84,1705.64,135,1.00
2015-03-04,P7,1291,1024394.82,922.88,714.89,899.00,184.11,25.75,793.58,1291,1.16
2015-03-05,P1,21,29008.60,1381.36,1349.10,1499.00,149.90,11.11,1381.36,21,1.00
2015-03-05,P2,123,94727.58,789.40,671.49,829.00,157.51,23.46,770.64,123,1.02
2015-03-05,P3,13,19292.05,1484.00,1379.00,1499.00,120.00,8.70,1484.00,13,1.00
2015-03-05,P6,69,120137.69,1820.27,1533.07,2399.00,865.93,56.48,1736.84,69,1.05
2015-03-05,P7,270,225016.45,875.55,714.89,1049.00,334.11,46.74,833.57,270,1.05
2015-03-06,P1,9,13391.00,1487.89,1399.00,1499.00,100.00,7.15,1487.89,9,1.00
2015-03-06,P2,70,54986.60,808.63,674.10,879.00,204.90,30.40,785.79,70,1.03
2015-03-06,P3,15,21692.95,1549.50,1281.65,1499.00,217.35,16.96,1447.78,15,1.07
2015-03-06,P6,51,90166.35,1767.97,1687.84,1776.67,88.83,5.26,1767.97,51,1.00
2015-03-06,P7,452,381333.57,876.63,714.89,899.00,184.11,25.75,844.22,452,1.04
2015-03-07,P1,9,13291.00,1476.78,1399.00,1499.00,100.00,7.15,1476.78,9,1.00
2015-03-07,P2,717,496745.40,751.51,606.43,779.00,172.57,28.46,694.39,717,1.08
2015-03-07,P3,32,44976.75,1405.52,1352.95,1424.05,71.10,5.26,1405.52,32,1.00
2015-03-07,P6,7,13032.35,1861.76,1750.00,2399.00,649.00,37.09,1861.76,7,1.00
2015-03-07,P7,385,323351.47,883.47,726.25,922.90,196.65,27.08,840.56,385,1.05
2015-03-08,P1,12,17613.95,1467.83,1399.00,1499.00,100.00,7.15,1467.83,12,1.00
2015-03-08,P2,148,111197.25,761.62,664.05,879.00,214.95,32.37,752.29,148,1.01
2015-03-08,P3,33,46218.45,1400.56,1281.65,1424.05,142.40,11.11,1400.56,33,1.00
2015-03-08,P6,1,2399.00,2399.00,2399.00,2399.00,0.00,0.00,2399.00,1,1.00
2015-03-08,P7,410,342831.90,954.96,726.25,899.00,172.75,23.79,838.34,410,1.14
2015-03-09,P1,34,49936.30,1468.71,1259.10,1499.00,239.90,19.05,1468.71,34,1.00
2015-03-09,P2,95,75375.40,908.14,674.10,879.00,204.90,30.40,806.47,95,1.14
2015-03-09,P3,27,38449.35,1478.82,1424.05,1424.05,0.00,0.00,1424.05,27,1.04
2015-03-09,P6,3,5997.00,1999.00,1799.00,2399.00,600.00,33.35,1999.00,3,1.00
2015-03-09,P7,375,317823.55,873.14,764.10,849.00,84.90,11.11,847.49,375,1.03
2015-03-10,P1,31,43739.00,1457.97,1362.50,1499.00,136.50,10.02,1408.00,31,1.03
2015-03-10,P2,158,125809.77,806.47,674.10,879.00,204.90,30.40,796.60,158,1.01
2015-03-10,P3,51,70453.00,1381.43,1349.10,1499.00,149.90,11.11,1381.43,51,1.00
2015-03-10,P6,69,123681.25,1792.48,1619.10,1799.00,179.90,11.11,1792.48,69,1.00
2015-03-10,P7,422,357546.36,885.02,764.10,922.90,158.80,20.78,847.19,422,1.04
2015-03-11,P1,53,72076.25,1359.93,1226.25,1362.50,136.25,11.11,1359.93,53,1.00
2015-03-11,P2,273,214872.78,795.83,640.79,791.10,150.31,23.46,787.13,273,1.01
2015-03-11,P3,93,125466.30,1349.10,1349.10,1349.10,0.00,0.00,1349.10,93,1.00
