WEEK,PRODUCT,COMPETITOR,PAY_TYPE,COMPETITOR_PRICE,NUM_EXTRACTIONS,MIN_UNIT_PRICE,MAX_UNIT_PRICE,DIFF_UNIT_PRICE,VAR_UNIT_PRICE,AVG_PRICE
1,P2,C1,DEFERRED,7459.00,13,828.00,829.00,1.00,0.12,828.78
1,P2,C1,IMMEDIATE,7061.08,13,762.68,829.00,66.32,8.70,784.56
1,P2,C2,DEFERRED,6629.00,13,828.00,829.00,1.00,0.12,828.62
1,P2,C2,IMMEDIATE,6297.40,13,746.10,829.00,82.90,11.11,787.18
1,P2,C3,DEFERRED,5780.80,13,818.90,829.00,10.10,1.23,825.83
1,P2,C3,IMMEDIATE,5780.80,13,818.90,829.00,10.10,1.23,825.83
1,P2,C4,DEFERRED,5803.00,13,829.00,829.00,0.00,0.00,829.00
1,P2,C4,IMMEDIATE,5106.64,13,729.52,729.52,0.00,0.00,729.52
1,P2,C6,DEFERRED,5803.00,13,829.00,829.00,0.00,0.00,829.00
1,P2,C6,IMMEDIATE,5803.00,13,829.00,829.00,0.00,0.00,829.00
1,P6,C1,DEFERRED,32190.04,22,1897.88,2099.00,201.12,10.60,2011.88
1,P6,C1,IMMEDIATE,32190.04,22,1897.88,2099.00,201.12,10.60,2011.88
1,P6,C2,DEFERRED,31229.59,19,1826.86,2199.00,372.14,20.37,1951.85
1,P6,C2,IMMEDIATE,30818.21,19,1723.32,2039.00,315.68,18.32,1926.14
1,P6,C3,DEFERRED,42232.60,25,1723.41,2039.00,315.59,18.31,1919.66
1,P6,C3,IMMEDIATE,41849.63,25,1723.32,2039.00,315.68,18.32,1902.26
1,P6,C4,DEFERRED,18791.00,13,1799.00,2199.00,400.00,22.23,2087.89
1,P6,C4,IMMEDIATE,17691.50,13,1799.00,2199.00,400.00,22.23,1965.72
1,P6,C6,DEFERRED,39539.40,26,2199.00,2799.90,600.90,27.33,2471.21
1,P6,C6,IMMEDIATE,39539.40,26,2199.00,2799.90,600.90,27.33,2471.21
1,P7,C1,DEFERRED,3394.00,4,798.00,899.00,101.00,12.66,848.50
1,P7,C1,IMMEDIATE,3394.00,4,798.00,899.00,101.00,12.66,848.50
1,P7,C2,DEFERRED,2596.00,3,798.00,899.00,101.00,12.66,865.33
1,P7,C2,IMMEDIATE,2596.00,3,798.00,899.00,101.00,12.66,865.33
1,P7,C3,DEFERRED,7790.00,8,798.00,1099.00,301.00,37.72,973.75
1,P7,C3,IMMEDIATE,7790.00,8,798.00,1099.00,301.00,37.72,973.75
1,P7,C4,DEFERRED,6542.00,26,799.00,849.00,50.00,6.26,817.75
1,P7,C4,IMMEDIATE,6351.71,26,687.14,721.65,34.51,5.02,705.75
1,P7,C5,DEFERRED,4095.00,11,799.00,849.00,50.00,6.26,819.00
1,P7,C5,IMMEDIATE,4637.37,11,747.12,806.55,59.43,7.95,772.90
1,P7,C6,DEFERRED,6542.00,12,799.00,849.00,50.00,6.26,817.75
1,P7,C6,IMMEDIATE,6542.00,12,799.00,849.00,50.00,6.26,817.75
2,P2,C1,DEFERRED,7459.00,12,828.00,829.00,1.00,0.12,828.78
2,P2,C1,IMMEDIATE,6928.44,12,746.10,828.00,81.90,10.98,769.83
2,P2,C2,DEFERRED,7459.00,12,828.00,829.00,1.00,0.12,828.78
2,P2,C2,IMMEDIATE,6795.80,12,729.52,828.00,98.48,13.50,755.09
2,P2,C3,DEFERRED,6468.10,12,746.10,829.00,82.90,11.11,808.51
2,P2,C3,IMMEDIATE,7056.40,12,674.10,829.00,154.90,22.98,784.04
2,P2,C4,DEFERRED,5803.00,12,829.00,829.00,0.00,0.00,829.00
2,P2,C4,IMMEDIATE,6333.56,12,729.52,829.00,99.48,13.64,791.70
2,P2,C6,DEFERRED,5803.00,12,829.00,829.00,0.00,0.00,829.00
2,P2,C6,IMMEDIATE,5803.00,12,829.00,829.00,0.00,0.00,829.00
2,P6,C1,DEFERRED,42031.47,24,1797.84,1999.00,201.16,11.19,1910.52
2,P6,C1,IMMEDIATE,42031.47,24,1797.84,1999.00,201.16,11.19,1910.52
2,P6,C2,DEFERRED,41437.07,22,1796.67,1996.30,199.63,11.11,1883.50
2,P6,C2,IMMEDIATE,40518.76,22,1756.66,1949.00,192.34,10.95,1841.76
2,P6,C3,DEFERRED,41478.72,22,1796.67,1996.30,199.63,11.11,1885.40
2,P6,C3,IMMEDIATE,41279.09,22,1796.67,1979.00,182.33,10.15,1876.32
2,P6,C4,DEFERRED,14193.00,12,1799.00,2199.00,400.00,22.23,2027.57
2,P6,C4,IMMEDIATE,13753.20,12,1799.00,2199.00,400.00,22.23,1964.74
2,P6,C6,DEFERRED,39098.40,24,2158.00,2799.90,641.90,29.75,2443.65
2,P6,C6,IMMEDIATE,39098.40,24,2158.00,2799.90,641.90,29.75,2443.65
2,P7,C1,DEFERRED,2597.00,3,799.00,899.00,100.00,12.52,865.67
2,P7,C1,IMMEDIATE,2597.00,3,799.00,899.00,100.00,12.52,865.67
2,P7,C2,DEFERRED,2597.00,3,799.00,899.00,100.00,12.52,865.67
2,P7,C2,IMMEDIATE,2597.00,3,799.00,899.00,100.00,12.52,865.67
2,P7,C3,DEFERRED,5894.00,7,899.00,999.00,100.00,11.12,982.33
2,P7,C3,IMMEDIATE,5894.00,7,899.00,999.00,100.00,11.12,982.33
2,P7,C4,DEFERRED,6692.00,24,799.00,849.00,50.00,6.26,836.50
2,P7,C4,IMMEDIATE,6700.49,24,721.65,799.00,77.35,10.72,744.50
2,P7,C5,DEFERRED,3396.00,8,849.00,849.00,0.00,0.00,849.00
2,P7,C5,IMMEDIATE,3294.12,8,747.12,849.00,101.88,13.64,823.53
2,P7,C6,DEFERRED,5943.00,9,849.00,849.00,0.00,0.00,849.00
2,P7,C6,IMMEDIATE,5943.00,9,849.00,849.00,0.00,0.00,849.00
3,P2,C1,DEFERRED,9452.52,14,699.00,829.00,130.00,18.60,787.71
3,P2,C1,IMMEDIATE,9064.02,14,629.10,828.00,198.90,31.62,755.34
3,P2,C2,DEFERRED,8025.52,14,729.52,829.00,99.48,13.64,802.55
3,P2,C2,IMMEDIATE,7627.60,14,729.52,798.00,68.48,9.39,762.76
3,P2,C3,DEFERRED,8530.10,14,699.00,829.00,130.00,18.60,775.46
3,P2,C3,IMMEDIATE,8232.50,14,629.10,828.00,198.90,31.62,748.41
3,P2,C4,DEFERRED,5803.00,14,829.00,829.00,0.00,0.00,829.00
3,P2,C4,IMMEDIATE,5803.00,14,829.00,829.00,0.00,0.00,829.00
3,P2,C6,DEFERRED,5803.00,14,829.00,829.00,0.00,0.00,829.00
3,P2,C6,IMMEDIATE,5803.00,14,829.00,829.00,0.00,0.00,829.00
3,P6,C1,DEFERRED,39176.26,28,1897.75,2199.00,301.25,15.87,1958.81
3,P6,C1,IMMEDIATE,38956.36,28,1897.75,1998.00,100.25,5.28,1947.82
3,P6,C2,DEFERRED,42756.33,26,1714.22,1996.20,281.98,16.45,1943.47
3,P6,C2,IMMEDIATE,39697.87,26,1669.27,1949.00,279.73,16.76,1804.45
3,P6,C3,DEFERRED,42553.31,28,1753.18,1998.00,244.82,13.96,1934.24
3,P6,C3,IMMEDIATE,42173.93,28,1707.21,1998.00,290.79,17.03,1917.00
3,P6,C4,DEFERRED,14993.00,14,1799.00,2199.00,400.00,22.23,2141.86
3,P6,C4,IMMEDIATE,14993.00,14,1799.00,2199.00,400.00,22.23,2141.86
3,P6,C6,DEFERRED,31062.90,28,1999.90,2369.90,370.00,18.50,2218.78
3,P6,C6,IMMEDIATE,31062.90,28,1999.90,2369.90,370.00,18.50,2218.78
3,P7,C1,DEFERRED,2697.00,4,899.00,899.00,0.00,0.00,899.00
3,P7,C1,IMMEDIATE,2697.00,4,899.00,899.00,0.00,0.00,899.00
3,P7,C2,DEFERRED,2697.00,4,899.00,899.00,0.00,0.00,899.00
3,P7,C2,IMMEDIATE,2697.00,4,899.00,899.00,0.00,0.00,899.00
3,P7,C3,DEFERRED,5994.00,9,899.00,1099.00,200.00,22.25,999.00
3,P7,C3,IMMEDIATE,5994.00,9,899.00,1099.00,200.00,22.25,999.00
3,P7,C4,DEFERRED,5943.00,28,849.00,849.00,0.00,0.00,849.00
3,P7,C4,IMMEDIATE,6961.80,28,747.12,849.00,101.88,13.64,773.53
3,P7,C5,DEFERRED,5943.00,26,849.00,849.00,0.00,0.00,849.00
3,P7,C5,IMMEDIATE,5943.00,26,849.00,849.00,0.00,0.00,849.00
3,P7,C6,DEFERRED,5943.00,12,849.00,849.00,0.00,0.00,849.00
3,P7,C6,IMMEDIATE,5943.00,12,849.00,849.00,0.00,0.00,849.00
4,P2,C1,DEFERRED,9196.00,14,788.00,879.00,91.00,11.55,836.00
4,P2,C1,IMMEDIATE,8517.80,14,746.10,828.00,81.90,10.98,774.35
4,P2,C2,DEFERRED,10942.68,14,788.00,879.00,91.00,11.55,841.74
4,P2,C2,IMMEDIATE,9919.24,14,693.44,828.00,134.56,19.40,763.02
4,P2,C3,DEFERRED,9974.00,14,788.00,879.00,91.00,11.55,831.17
4,P2,C3,IMMEDIATE,9469.52,14,693.44,869.00,175.56,25.32,789.13
4,P2,C4,DEFERRED,5803.00,10,829.00,829.00,0.00,0.00,829.00
4,P2,C4,IMMEDIATE,6101.44,10,696.36,829.00,132.64,19.05,762.68
4,P2,C6,DEFERRED,6932.00,14,829.00,879.00,50.00,6.03,866.50
4,P2,C6,IMMEDIATE,6932.00,14,829.00,879.00,50.00,6.03,866.50
4,P6,C1,DEFERRED,34888.74,28,1799.00,2199.00,400.00,22.23,1938.26
4,P6,C1,IMMEDIATE,34089.14,28,1619.10,1997.00,377.90,23.34,1893.84
4,P6,C2,DEFERRED,38730.40,28,1894.88,2199.00,304.12,16.05,1936.52
4,P6,C2,IMMEDIATE,35927.13,28,1667.51,1997.00,329.49,19.76,1796.36
4,P6,C3,DEFERRED,41838.17,28,1799.00,1997.00,198.00,11.01,1901.74
4,P6,C3,IMMEDIATE,42608.11,28,1583.12,1997.00,413.88,26.14,1852.53
4,P6,C4,DEFERRED,9795.00,6,1799.00,2199.00,400.00,22.23,1959.00
4,P6,C4,IMMEDIATE,9795.00,6,1799.00,2199.00,400.00,22.23,1959.00
4,P6,C6,DEFERRED,31905.80,28,1999.90,2369.90,370.00,18.50,2127.05
4,P6,C6,IMMEDIATE,31905.80,28,1999.90,2369.90,370.00,18.50,2127.05
4,P7,C1,DEFERRED,3496.00,5,799.00,899.00,100.00,12.52,874.00
4,P7,C1,IMMEDIATE,3416.10,5,719.10,899.00,179.90,25.02,854.02
4,P7,C2,DEFERRED,3596.00,5,899.00,899.00,0.00,0.00,899.00
4,P7,C2,IMMEDIATE,3596.00,5,899.00,899.00,0.00,0.00,899.00
4,P7,C3,DEFERRED,8391.00,11,898.00,1299.00,401.00,44.65,1048.88
4,P7,C3,IMMEDIATE,8391.00,11,898.00,1299.00,401.00,44.65,1048.88
4,P7,C4,DEFERRED,5943.00,28,849.00,849.00,0.00,0.00,849.00
4,P7,C4,IMMEDIATE,6995.76,28,721.65,849.00,127.35,17.65,777.31
4,P7,C5,DEFERRED,4245.00,10,849.00,849.00,0.00,0.00,849.00
4,P7,C5,IMMEDIATE,4245.00,10,849.00,849.00,0.00,0.00,849.00
4,P7,C6,DEFERRED,5943.00,14,849.00,849.00,0.00,0.00,849.00
4,P7,C6,IMMEDIATE,5943.00,14,849.00,849.00,0.00,0.00,849.00
5,P2,C1,DEFERRED,7506.00,14,828.00,879.00,51.00,6.16,834.00
5,P2,C1,IMMEDIATE,7169.40,14,746.10,828.00,81.90,10.98,796.60
5,P2,C2,DEFERRED,7506.00,14,828.00,879.00,51.00,6.16,834.00
5,P2,C2,IMMEDIATE,7102.08,14,729.52,828.00,98.48,13.50,789.12
5,P2,C3,DEFERRED,8335.00,17,828.00,879.00,51.00,6.16,833.50
5,P2,C3,IMMEDIATE,8328.40,17,662.40,828.00,165.60,25.00,757.13
5,P2,C4,DEFERRED,6549.10,17,746.10,829.00,82.90,11.11,818.64
5,P2,C4,IMMEDIATE,7941.82,17,696.36,829.00,132.64,19.05,794.18
5,P2,C5,DEFERRED,1658.00,3,829.00,829.00,0.00,0.00,829.00
5,P2,C5,IMMEDIATE,1459.04,3,729.52,729.52,0.00,0.00,729.52
5,P2,C6,DEFERRED,6153.00,17,879.00,879.00,0.00,0.00,879.00
5,P2,C6,IMMEDIATE,6153.00,17,879.00,879.00,0.00,0.00,879.00
5,P6,C1,DEFERRED,38734.01,28,1887.00,2199.00,312.00,16.53,1936.70
5,P6,C1,IMMEDIATE,38074.31,28,1887.00,1979.10,92.10,4.88,1903.72
5,P6,C2,DEFERRED,46949.64,28,1887.96,2199.00,311.04,16.47,1956.24
5,P6,C2,IMMEDIATE,47197.48,28,1665.52,1935.12,269.60,16.19,1815.29
5,P6,C3,DEFERRED,45126.62,28,1665.56,1895.98,230.42,13.83,1880.28
5,P6,C3,IMMEDIATE,43107.21,28,1465.69,1895.98,430.29,29.36,1796.13
5,P6,C4,DEFERRED,12794.00,10,1799.00,2199.00,400.00,22.23,2132.33
5,P6,C4,IMMEDIATE,12794.00,10,1799.00,2199.00,400.00,22.23,2132.33
5,P6,C6,DEFERRED,27992.30,28,1999.00,1999.90,0.90,0.05,1999.45
5,P6,C6,IMMEDIATE,27992.30,28,1999.00,1999.90,0.90,0.05,1999.45
5,P7,C1,DEFERRED,1687.90,2,799.00,888.90,89.90,11.25,843.95
5,P7,C1,IMMEDIATE,1687.90,2,799.00,888.90,89.90,11.25,843.95
5,P7,C2,DEFERRED,2684.86,3,888.90,897.99,9.09,1.02,894.95
5,P7,C2,IMMEDIATE,2684.86,3,888.90,897.99,9.09,1.02,894.95
5,P7,C3,DEFERRED,8873.87,14,799.00,899.00,100.00,12.52,887.39
5,P7,C3,IMMEDIATE,8873.87,14,799.00,899.00,100.00,12.52,887.39
5,P7,C4,DEFERRED,5943.00,28,849.00,849.00,0.00,0.00,849.00
5,P7,C4,IMMEDIATE,6902.37,28,721.65,806.55,84.90,11.76,766.93
5,P7,C5,DEFERRED,4245.00,10,849.00,849.00,0.00,0.00,849.00
5,P7,C5,IMMEDIATE,4032.75,10,806.55,806.55,0.00,0.00,806.55
5,P7,C6,DEFERRED,5943.00,14,849.00,849.00,0.00,0.00,849.00
5,P7,C6,IMMEDIATE,5943.00,14,849.00,849.00,0.00,0.00,849.00
6,P2,C1,DEFERRED,8156.00,13,788.00,829.00,41.00,5.20,815.60
6,P2,C1,IMMEDIATE,7907.30,13,746.10,828.00,81.90,10.98,790.73
6,P2,C2,DEFERRED,8156.00,13,788.00,829.00,41.00,5.20,815.60
6,P2,C2,IMMEDIATE,7782.95,13,704.65,828.00,123.35,17.51,778.30
6,P2,C3,DEFERRED,12072.18,26,745.19,829.00,83.81,11.25,804.81
6,P2,C3,IMMEDIATE,11657.89,26,703.79,828.00,124.21,17.65,777.19
6,P2,C4,DEFERRED,11357.30,24,746.10,829.00,82.90,11.11,811.24
6,P2,C4,IMMEDIATE,10296.18,24,679.78,829.00,149.22,21.95,735.44
6,P2,C5,DEFERRED,5803.00,13,829.00,829.00,0.00,0.00,829.00
6,P2,C5,IMMEDIATE,5811.29,13,721.23,729.52,8.29,1.15,726.41
6,P2,C6,DEFERRED,6153.00,26,879.00,879.00,0.00,0.00,879.00
6,P2,C6,IMMEDIATE,6153.00,26,879.00,879.00,0.00,0.00,879.00
6,P6,C1,DEFERRED,35943.44,26,1884.90,1994.00,109.10,5.79,1891.76
6,P6,C1,IMMEDIATE,35943.44,26,1884.90,1994.00,109.10,5.79,1891.76
6,P6,C2,DEFERRED,32478.88,26,1885.00,2199.00,314.00,16.66,2029.93
6,P6,C2,IMMEDIATE,30169.93,26,1869.15,1994.00,124.85,6.68,1885.62
6,P6,C3,DEFERRED,33649.47,26,1665.56,1994.00,328.44,19.72,1869.42
6,P6,C3,IMMEDIATE,33399.64,26,1415.73,1994.00,578.27,40.85,1855.54
6,P6,C4,DEFERRED,15393.00,17,2199.00,2199.00,0.00,0.00,2199.00
6,P6,C4,IMMEDIATE,21858.06,17,2155.02,2199.00,43.98,2.04,2185.81
6,P6,C6,DEFERRED,32282.70,26,1998.00,2199.00,201.00,10.06,2017.67
6,P6,C6,IMMEDIATE,32282.70,26,1998.00,2199.00,201.00,10.06,2017.67
6,P7,C1,DEFERRED,3496.00,4,849.00,899.00,50.00,5.89,874.00
6,P7,C1,IMMEDIATE,3283.75,4,721.65,899.00,177.35,24.58,820.94
6,P7,C2,DEFERRED,3496.00,4,849.00,899.00,50.00,5.89,874.00
6,P7,C2,IMMEDIATE,3241.30,4,721.65,899.00,177.35,24.58,810.32
6,P7,C3,DEFERRED,7092.00,13,849.00,899.00,50.00,5.89,886.50
6,P7,C3,IMMEDIATE,6888.24,13,747.12,899.00,151.88,20.33,861.03
6,P7,C4,DEFERRED,5943.00,26,849.00,849.00,0.00,0.00,849.00
6,P7,C4,IMMEDIATE,7445.73,26,713.16,806.55,93.39,13.10,744.57
6,P7,C5,DEFERRED,3396.00,8,849.00,849.00,0.00,0.00,849.00
6,P7,C5,IMMEDIATE,3090.36,8,738.63,806.55,67.92,9.20,772.59
6,P7,C6,DEFERRED,5943.00,13,849.00,849.00,0.00,0.00,849.00
6,P7,C6,IMMEDIATE,5943.00,13,849.00,849.00,0.00,0.00,849.00
7,P2,C1,DEFERRED,8104.99,13,787.00,854.00,67.00,8.51,810.50
7,P2,C1,IMMEDIATE,7980.64,13,704.65,854.00,149.35,21.19,798.06
7,P2,C2,DEFERRED,8906.99,13,787.00,869.00,82.00,10.42,809.73
7,P2,C2,IMMEDIATE,8782.64,13,704.65,869.00,164.35,23.32,798.42
7,P2,C3,DEFERRED,14415.99,26,778.00,869.00,91.00,11.70,800.89
7,P2,C3,IMMEDIATE,14055.24,26,669.80,869.00,199.20,29.74,780.85
7,P2,C4,DEFERRED,9052.68,26,812.42,829.00,16.58,2.04,822.97
7,P2,C4,IMMEDIATE,7593.64,26,679.78,696.36,16.58,2.44,690.33
7,P2,C5,DEFERRED,5803.00,13,829.00,829.00,0.00,0.00,829.00
7,P2,C5,IMMEDIATE,5753.26,13,704.65,729.52,24.87,3.53,719.16
7,P2,C6,DEFERRED,7909.00,26,878.00,879.00,1.00,0.11,878.78
7,P2,C6,IMMEDIATE,7909.00,26,878.00,879.00,1.00,0.11,878.78
7,P6,C1,DEFERRED,33231.50,26,1884.95,2199.00,314.05,16.66,1954.79
7,P6,C1,IMMEDIATE,32901.65,26,1869.15,1999.00,129.85,6.95,1935.39
7,P6,C2,DEFERRED,39629.00,26,1599.00,2199.00,600.00,37.52,1981.45
7,P6,C2,IMMEDIATE,37799.90,26,1359.15,1999.00,639.85,47.08,1890.00
7,P6,C3,DEFERRED,36249.56,26,1599.00,1999.00,400.00,25.02,1907.87
7,P6,C3,IMMEDIATE,36009.71,26,1359.15,1999.00,639.85,47.08,1895.25
7,P6,C4,DEFERRED,14793.00,16,1599.00,2199.00,600.00,37.52,2113.29
7,P6,C4,IMMEDIATE,20598.36,16,1599.00,2199.00,600.00,37.52,2059.84
7,P6,C6,DEFERRED,30378.00,26,1998.00,2099.00,101.00,5.06,2025.20
7,P6,C6,IMMEDIATE,30378.00,26,1998.00,2099.00,101.00,5.06,2025.20
7,P7,C1,DEFERRED,7911.15,13,849.00,899.05,50.05,5.90,879.02
7,P7,C1,IMMEDIATE,7656.45,13,764.10,899.05,134.95,17.66,850.72
7,P7,C2,DEFERRED,6062.98,8,848.99,899.00,50.01,5.89,866.14
7,P7,C2,IMMEDIATE,5816.78,8,725.90,899.00,173.10,23.85,830.97
7,P7,C3,DEFERRED,9209.98,13,848.99,1049.00,200.01,23.56,921.00
7,P7,C3,IMMEDIATE,9040.18,13,764.10,1049.00,284.90,37.29,904.02
7,P7,C4,DEFERRED,6592.00,26,749.00,849.00,100.00,13.35,824.00
7,P7,C4,IMMEDIATE,6531.96,26,721.65,749.00,27.35,3.79,725.77
7,P7,C5,DEFERRED,2547.00,7,849.00,849.00,0.00,0.00,849.00
7,P7,C5,IMMEDIATE,3090.36,7,738.63,806.55,67.92,9.20,772.59
7,P7,C6,DEFERRED,6791.99,13,848.99,849.00,0.01,0.00,849.00
7,P7,C6,IMMEDIATE,6791.99,13,848.99,849.00,0.01,0.00,849.00
8,P2,C1,DEFERRED,8219.98,13,787.00,879.00,92.00,11.69,822.00
8,P2,C1,IMMEDIATE,7956.28,13,747.15,828.00,80.85,10.82,795.63
8,P2,C2,DEFERRED,10087.98,13,798.99,879.00,80.01,10.01,840.66
8,P2,C2,IMMEDIATE,9692.43,13,747.15,869.00,121.85,16.31,807.70
8,P2,C3,DEFERRED,13337.98,26,798.99,879.00,80.01,10.01,833.62
8,P2,C3,IMMEDIATE,12942.43,26,747.15,869.00,121.85,16.31,808.90
8,P2,C4,DEFERRED,5803.00,26,829.00,829.00,0.00,0.00,829.00
8,P2,C4,IMMEDIATE,4874.52,26,696.36,696.36,0.00,0.00,696.36
8,P2,C5,DEFERRED,5803.00,12,829.00,829.00,0.00,0.00,829.00
8,P2,C5,IMMEDIATE,5761.55,12,704.65,729.52,24.87,3.53,720.19
8,P2,C6,DEFERRED,9665.00,26,878.00,879.00,1.00,0.11,878.64
8,P2,C6,IMMEDIATE,9665.00,26,878.00,879.00,1.00,0.11,878.64
8,P6,C1,DEFERRED,27076.64,26,1882.79,1989.00,106.21,5.64,1934.05
8,P6,C1,IMMEDIATE,26746.79,26,1869.15,1989.00,119.85,6.41,1910.48
8,P6,C2,DEFERRED,38682.99,26,1599.00,2199.00,600.00,37.52,1934.15
8,P6,C2,IMMEDIATE,37453.59,26,1359.15,1999.00,639.85,47.08,1872.68
8,P6,C3,DEFERRED,42993.69,26,1599.00,1999.00,400.00,25.02,1869.29
8,P6,C3,IMMEDIATE,42572.14,26,1359.15,1999.00,639.85,47.08,1850.96
8,P6,C4,DEFERRED,15393.00,13,2199.00,2199.00,0.00,0.00,2199.00
8,P6,C4,IMMEDIATE,13084.05,13,1869.15,1869.15,0.00,0.00,1869.15
8,P6,C6,DEFERRED,28472.80,25,1994.90,2099.00,104.10,5.22,2033.77
8,P6,C6,IMMEDIATE,28472.80,25,1994.90,2099.00,104.10,5.22,2033.77
8,P7,C1,DEFERRED,7640.95,13,848.99,849.00,0.01,0.00,848.99
8,P7,C1,IMMEDIATE,7301.35,13,764.10,848.99,84.89,11.11,811.26
8,P7,C2,DEFERRED,9338.93,13,848.99,849.00,0.01,0.00,848.99
8,P7,C2,IMMEDIATE,8999.33,13,764.10,848.99,84.89,11.11,818.12
8,P7,C3,DEFERRED,8489.93,13,848.99,849.00,0.01,0.00,848.99
8,P7,C3,IMMEDIATE,8405.03,13,764.10,849.00,84.90,11.11,840.50
8,P7,C4,DEFERRED,5943.00,26,849.00,849.00,0.00,0.00,849.00
8,P7,C4,IMMEDIATE,5051.55,26,721.65,721.65,0.00,0.00,721.65
8,P7,C5,DEFERRED,4245.00,10,849.00,849.00,0.00,0.00,849.00
8,P7,C5,IMMEDIATE,3947.85,10,721.65,806.55,84.90,11.76,789.57
8,P7,C6,DEFERRED,5943.00,13,849.00,849.00,0.00,0.00,849.00
8,P7,C6,IMMEDIATE,5943.00,13,849.00,849.00,0.00,0.00,849.00
9,P2,C1,DEFERRED,5186.91,12,699.00,798.98,99.98,14.30,740.99
9,P2,C1,IMMEDIATE,5466.51,12,594.15,798.98,204.83,34.47,683.31
9,P2,C2,DEFERRED,5186.91,12,699.00,798.98,99.98,14.30,740.99
9,P2,C2,IMMEDIATE,4907.31,12,629.10,798.98,169.88,27.00,701.04
9,P2,C3,DEFERRED,8043.09,24,629.10,798.99,169.89,27.01,731.19
9,P2,C3,IMMEDIATE,8043.09,24,629.10,798.99,169.89,27.01,731.19
9,P2,C4,DEFERRED,6549.10,24,746.10,829.00,82.90,11.11,818.64
9,P2,C4,IMMEDIATE,5753.26,24,696.36,829.00,132.64,19.05,719.16
9,P2,C5,DEFERRED,4974.00,10,829.00,829.00,0.00,0.00,829.00
9,P2,C5,IMMEDIATE,4377.12,10,729.52,729.52,0.00,0.00,729.52
9,P2,C6,DEFERRED,7909.00,21,878.00,879.00,1.00,0.11,878.78
9,P2,C6,IMMEDIATE,7909.00,21,878.00,879.00,1.00,0.11,878.78
9,P6,C1,DEFERRED,33363.44,24,1829.90,2199.00,369.10,20.17,1962.56
9,P6,C1,IMMEDIATE,33253.49,24,1829.90,2199.00,369.10,20.17,1956.09
9,P6,C2,DEFERRED,33566.38,22,1519.05,1979.10,460.05,30.29,1864.80
9,P6,C2,IMMEDIATE,33376.48,22,1439.10,1979.10,540.00,37.52,1854.25
9,P6,C3,DEFERRED,28961.75,20,1439.10,1882.88,443.78,30.84,1810.11
9,P6,C3,IMMEDIATE,28867.75,20,1439.10,1882.88,443.78,30.84,1804.23
9,P6,C4,DEFERRED,12594.00,9,1599.00,2199.00,600.00,37.52,2099.00
9,P6,C4,IMMEDIATE,13033.80,9,1599.00,1979.10,380.10,23.77,1861.97
