DATE,WEEKDAY,EVENT,PRODUCT,QTY_ORDER
2015-02-06,THU,"NO EVENT",P6,56
2015-02-06,THU,"NO EVENT",P7,770
2015-02-07,FRI,"NO EVENT",P1,4
2015-02-07,FRI,"NO EVENT",P2,71
2015-02-07,FRI,"NO EVENT",P3,4
2015-02-07,FRI,"NO EVENT",P6,11
2015-02-07,FRI,"NO EVENT",P7,1058
2015-02-08,SAT,"NO EVENT",P1,7
2015-02-08,SAT,"NO EVENT",P2,30
2015-02-08,SAT,"NO EVENT",P3,3
2015-02-08,SAT,"NO EVENT",P6,3
2015-02-08,SAT,"NO EVENT",P7,883
2015-02-09,SUN,"NO EVENT",P1,5
2015-02-09,SUN,"NO EVENT",P2,42
2015-02-09,SUN,"NO EVENT",P3,7
2015-02-09,SUN,"NO EVENT",P6,8
2015-02-09,SUN,"NO EVENT",P7,642
2015-02-10,MON,"NO EVENT",P1,10
2015-02-10,MON,"NO EVENT",P2,51
2015-02-10,MON,"NO EVENT",P3,5
2015-02-10,MON,"NO EVENT",P6,15
2015-02-10,MON,"NO EVENT",P7,1149
2015-02-11,TUE,"NO EVENT",P1,11
2015-02-11,TUE,"NO EVENT",P2,76
2015-02-11,TUE,"NO EVENT",P3,9
2015-02-11,TUE,"NO EVENT",P6,11
2015-02-11,TUE,"NO EVENT",P7,2624
2015-02-12,WED,"NO EVENT",P1,16
2015-02-12,WED,"NO EVENT",P2,73
2015-02-12,WED,"NO EVENT",P3,8
2015-02-12,WED,"NO EVENT",P6,4
2015-02-12,WED,"NO EVENT",P7,1415
2015-02-13,THU,"NO EVENT",P1,7
2015-02-13,THU,"NO EVENT",P2,45
2015-02-13,THU,"NO EVENT",P3,3
2015-02-13,THU,"NO EVENT",P6,5
2015-02-13,THU,"NO EVENT",P7,753
2015-02-19,WED,"NO EVENT",P1,14
2015-02-19,WED,"NO EVENT",P2,52
2015-02-19,WED,"NO EVENT",P3,5
2015-02-19,WED,"NO EVENT",P6,3
2015-02-19,WED,"NO EVENT",P7,912
2015-02-20,THU,"NO EVENT",P1,8
2015-02-20,THU,"NO EVENT",P2,98
2015-02-20,THU,"NO EVENT",P3,16
2015-02-20,THU,"NO EVENT",P6,4
2015-02-20,THU,"NO EVENT",P7,705
2015-02-21,FRI,"NO EVENT",P1,9
2015-02-21,FRI,"NO EVENT",P2,94
2015-02-21,FRI,"NO EVENT",P3,8
2015-02-21,FRI,"NO EVENT",P6,10
2015-02-21,FRI,"NO EVENT",P7,771
2015-02-22,SAT,"NO EVENT",P1,8
2015-02-22,SAT,"NO EVENT",P2,32
2015-02-22,SAT,"NO EVENT",P3,2
2015-02-22,SAT,"NO EVENT",P6,2
2015-02-22,SAT,"NO EVENT",P7,542
2015-02-23,SUN,"NO EVENT",P1,13
2015-02-23,SUN,"NO EVENT",P2,16
2015-02-23,SUN,"NO EVENT",P3,7
2015-02-23,SUN,"NO EVENT",P6,2
2015-02-23,SUN,"NO EVENT",P7,963
2015-02-24,MON,"NO EVENT",P1,6
2015-02-24,MON,"NO EVENT",P2,104
2015-02-24,MON,"NO EVENT",P3,5
2015-02-24,MON,"NO EVENT",P6,3
2015-02-24,MON,"NO EVENT",P7,970
2015-02-25,TUE,"NO EVENT",P1,5
2015-02-25,TUE,"NO EVENT",P2,330
2015-02-25,TUE,"NO EVENT",P3,6
2015-02-25,TUE,"NO EVENT",P6,3
2015-02-25,TUE,"NO EVENT",P7,636
2015-02-26,WED,"NO EVENT",P1,81
2015-02-26,WED,"NO EVENT",P2,271
2015-02-26,WED,"NO EVENT",P3,7
2015-02-26,WED,"NO EVENT",P6,6
2015-02-26,WED,"NO EVENT",P7,634
2015-02-27,THU,"NO EVENT",P1,14
2015-02-27,THU,"NO EVENT",P2,153
2015-02-27,THU,"NO EVENT",P3,9
2015-02-27,THU,"NO EVENT",P6,159
2015-02-27,THU,"NO EVENT",P7,527
2015-02-28,FRI,"NO EVENT",P1,8
2015-02-28,FRI,"NO EVENT",P2,146
2015-02-28,FRI,"NO EVENT",P3,10
2015-02-28,FRI,"NO EVENT",P6,11
2015-02-28,FRI,"NO EVENT",P7,660
2015-03-01,SAT,"NO EVENT",P1,14
2015-03-01,SAT,"NO EVENT",P2,148
2015-03-01,SAT,"NO EVENT",P3,13
2015-03-01,SAT,"NO EVENT",P6,2
2015-03-01,SAT,"NO EVENT",P7,1077
2015-03-02,SUN,"NO EVENT",P1,22
2015-03-02,SUN,"NO EVENT",P2,226
2015-03-02,SUN,"NO EVENT",P3,17
2015-03-02,SUN,"NO EVENT",P6,1
2015-03-02,SUN,"NO EVENT",P7,1384
2015-03-03,MON,"NO EVENT",P1,38
2015-03-03,MON,"NO EVENT",P2,271
2015-03-03,MON,"NO EVENT",P3,7
2015-03-03,MON,"NO EVENT",P6,11
2015-03-03,MON,"NO EVENT",P7,2734
2015-03-05,WED,"NO EVENT",P1,21
2015-03-05,WED,"NO EVENT",P2,123
2015-03-05,WED,"NO EVENT",P3,13
2015-03-05,WED,"NO EVENT",P6,69
2015-03-05,WED,"NO EVENT",P7,270
2015-03-06,THU,"NO EVENT",P1,9
2015-03-06,THU,"NO EVENT",P2,70
2015-03-06,THU,"NO EVENT",P3,15
2015-03-06,THU,"NO EVENT",P6,51
2015-03-06,THU,"NO EVENT",P7,452
2015-03-07,FRI,"NO EVENT",P1,9
2015-03-07,FRI,"NO EVENT",P2,717
2015-03-07,FRI,"NO EVENT",P3,32
2015-03-07,FRI,"NO EVENT",P6,7
2015-03-07,FRI,"NO EVENT",P7,385
2015-03-08,SAT,"NO EVENT",P1,12
2015-03-08,SAT,"NO EVENT",P2,148
2015-03-08,SAT,"NO EVENT",P3,33
2015-03-08,SAT,"NO EVENT",P6,1
2015-03-08,SAT,"NO EVENT",P7,410
2015-03-09,SUN,"NO EVENT",P1,34
2015-03-09,SUN,"NO EVENT",P2,95
2015-03-09,SUN,"NO EVENT",P3,27
2015-03-09,SUN,"NO EVENT",P6,3
2015-03-09,SUN,"NO EVENT",P7,375
2015-03-10,MON,"NO EVENT",P1,31
2015-03-10,MON,"NO EVENT",P2,158
2015-03-10,MON,"NO EVENT",P3,51
2015-03-10,MON,"NO EVENT",P6,69
2015-03-10,MON,"NO EVENT",P7,422
2015-03-11,TUE,"NO EVENT",P1,53
2015-03-11,TUE,"NO EVENT",P2,273
2015-03-11,TUE,"NO EVENT",P3,93
2015-03-11,TUE,"NO EVENT",P6,16
2015-03-11,TUE,"NO EVENT",P7,677
2015-03-12,WED,"NO EVENT",P1,54
2015-03-12,WED,"NO EVENT",P2,195
2015-03-12,WED,"NO EVENT",P3,43
2015-03-12,WED,"NO EVENT",P6,17
2015-03-12,WED,"NO EVENT",P7,635
2015-03-13,THU,"NO EVENT",P1,58
2015-03-13,THU,"NO EVENT",P2,158
2015-03-13,THU,"NO EVENT",P3,10
2015-03-13,THU,"NO EVENT",P6,14
2015-03-13,THU,"NO EVENT",P7,392
2015-03-14,FRI,"NO EVENT",P1,41
2015-03-14,FRI,"NO EVENT",P2,75
2015-03-14,FRI,"NO EVENT",P3,9
2015-03-14,FRI,"NO EVENT",P6,8
2015-03-15,SAT,"NO EVENT",P1,48
2015-03-15,SAT,"NO EVENT",P2,103
2015-03-15,SAT,"NO EVENT",P3,7
2015-03-15,SAT,"NO EVENT",P6,11
2015-03-15,SAT,"NO EVENT",P7,32
2015-03-16,SUN,"NO EVENT",P1,24
2015-03-16,SUN,"NO EVENT",P2,100
2015-03-16,SUN,"NO EVENT",P3,17
2015-03-16,SUN,"NO EVENT",P6,14
2015-03-16,SUN,"NO EVENT",P7,318
2015-03-17,MON,"NO EVENT",P1,28
2015-03-17,MON,"NO EVENT",P2,1020
2015-03-17,MON,"NO EVENT",P3,17
2015-03-17,MON,"NO EVENT",P6,16
2015-03-17,MON,"NO EVENT",P7,919
2015-03-18,TUE,"NO EVENT",P1,67
2015-03-18,TUE,"NO EVENT",P2,1604
2015-03-18,TUE,"NO EVENT",P3,18
2015-03-18,TUE,"NO EVENT",P6,8
2015-03-18,TUE,"NO EVENT",P7,2200
2015-03-19,WED,"NO EVENT",P1,46
2015-03-19,WED,"NO EVENT",P2,703
2015-03-19,WED,"NO EVENT",P3,19
2015-03-19,WED,"NO EVENT",P6,12
2015-03-19,WED,"NO EVENT",P7,417
2015-03-19,WED,"NO EVENT",P8,4
2015-03-19,WED,"NO EVENT",P9,1
2015-03-20,THU,"NO EVENT",P1,19
2015-03-20,THU,"NO EVENT",P2,470
2015-03-20,THU,"NO EVENT",P3,15
2015-03-20,THU,"NO EVENT",P6,13
2015-03-20,THU,"NO EVENT",P7,389
2015-03-20,THU,"NO EVENT",P8,19
2015-03-20,THU,"NO EVENT",P9,18
2015-03-21,FRI,"NO EVENT",P1,12
2015-03-21,FRI,"NO EVENT",P2,310
2015-03-21,FRI,"NO EVENT",P3,11
2015-03-21,FRI,"NO EVENT",P6,12
2015-03-21,FRI,"NO EVENT",P7,353
2015-03-21,FRI,"NO EVENT",P8,5
2015-03-21,FRI,"NO EVENT",P9,7
2015-03-22,SAT,"NO EVENT",P1,7
2015-03-22,SAT,"NO EVENT",P2,52
2015-03-22,SAT,"NO EVENT",P3,6
2015-03-22,SAT,"NO EVENT",P6,10
2015-03-22,SAT,"NO EVENT",P7,170
2015-03-22,SAT,"NO EVENT",P8,10
2015-03-22,SAT,"NO EVENT",P9,6
2015-03-23,SUN,"NO EVENT",P1,6
2015-03-23,SUN,"NO EVENT",P2,79
2015-03-23,SUN,"NO EVENT",P3,8
2015-03-23,SUN,"NO EVENT",P6,13
2015-03-23,SUN,"NO EVENT",P7,208
2015-03-23,SUN,"NO EVENT",P8,8
2015-03-23,SUN,"NO EVENT",P9,7
2015-03-24,MON,"NO EVENT",P1,13
2015-03-24,MON,"NO EVENT",P2,128
2015-03-24,MON,"NO EVENT",P3,6
2015-03-24,MON,"NO EVENT",P6,8
2015-03-24,MON,"NO EVENT",P7,245
2015-03-24,MON,"NO EVENT",P8,35
2015-03-24,MON,"NO EVENT",P9,31
2015-03-25,TUE,"NO EVENT",P1,7
2015-03-25,TUE,"NO EVENT",P2,71
2015-03-25,TUE,"NO EVENT",P3,10
2015-03-25,TUE,"NO EVENT",P6,6
2015-03-25,TUE,"NO EVENT",P7,403
2015-03-25,TUE,"NO EVENT",P8,51
2015-03-25,TUE,"NO EVENT",P9,40
2015-03-26,WED,"NO EVENT",P1,6
2015-03-26,WED,"NO EVENT",P2,72
2015-03-26,WED,"NO EVENT",P3,10
2015-03-26,WED,"NO EVENT",P6,7
2015-03-26,WED,"NO EVENT",P7,309
2015-03-26,WED,"NO EVENT",P8,10
2015-03-26,WED,"NO EVENT",P9,1
2015-03-27,THU,"NO EVENT",P1,7
2015-03-27,THU,"NO EVENT",P2,88
2015-03-27,THU,"NO EVENT",P3,4
2015-03-27,THU,"NO EVENT",P6,2
2015-03-27,THU,"NO EVENT",P7,377
2015-03-27,THU,"NO EVENT",P8,13
2015-03-27,THU,"NO EVENT",P9,6
2015-03-28,FRI,"NO EVENT",P1,15
2015-03-28,FRI,"NO EVENT",P2,47
2015-03-28,FRI,"NO EVENT",P3,10
2015-03-28,FRI,"NO EVENT",P6,14
2015-03-28,FRI,"NO EVENT",P7,253
2015-03-28,FRI,"NO EVENT",P8,9
2015-03-28,FRI,"NO EVENT",P9,6
2015-03-29,SAT,"NO EVENT",P1,7
2015-03-29,SAT,"NO EVENT",P2,17
2015-03-29,SAT,"NO EVENT",P3,6
2015-03-29,SAT,"NO EVENT",P6,13
2015-03-29,SAT,"NO EVENT",P7,307
2015-03-29,SAT,"NO EVENT",P8,4
2015-03-29,SAT,"NO EVENT",P9,4
2015-03-30,SUN,"NO EVENT",P1,12
2015-03-30,SUN,"NO EVENT",P2,37
2015-03-30,SUN,"NO EVENT",P3,17
2015-03-30,SUN,"NO EVENT",P4,4
2015-03-30,SUN,"NO EVENT",P6,9
2015-03-30,SUN,"NO EVENT",P7,722
2015-03-30,SUN,"NO EVENT",P8,11
2015-03-30,SUN,"NO EVENT",P9,11
2015-03-31,MON,"NO EVENT",P1,11
2015-03-31,MON,"NO EVENT",P2,68
2015-03-31,MON,"NO EVENT",P3,7
2015-03-31,MON,"NO EVENT",P4,18
2015-03-31,MON,"NO EVENT",P6,8
2015-03-31,MON,"NO EVENT",P7,473
2015-03-31,MON,"NO EVENT",P8,11
2015-03-31,MON,"NO EVENT",P9,3
2015-04-01,TUE,"NO EVENT",P1,16
2015-04-01,TUE,"NO EVENT",P2,60
2015-04-01,TUE,"NO EVENT",P3,8
2015-04-01,TUE,"NO EVENT",P4,27
2015-04-01,TUE,"NO EVENT",P6,10
2015-04-01,TUE,"NO EVENT",P7,364
2015-04-01,TUE,"NO EVENT",P8,6
2015-04-01,TUE,"NO EVENT",P9,5
2015-04-02,WED,"NO EVENT",P1,9
2015-04-02,WED,"NO EVENT",P2,70
2015-04-02,WED,"NO EVENT",P3,11
2015-04-02,WED,"NO EVENT",P4,22
2015-04-02,WED,"NO EVENT",P6,9
2015-04-02,WED,"NO EVENT",P7,361
2015-04-02,WED,"NO EVENT",P8,42
2015-04-02,WED,"NO EVENT",P9,23
2015-04-03,THU,"NO EVENT",P1,6
2015-04-03,THU,"NO EVENT",P2,70
2015-04-03,THU,"NO EVENT",P3,6
2015-04-03,THU,"NO EVENT",P4,23
2015-04-03,THU,"NO EVENT",P6,7
2015-04-03,THU,"NO EVENT",P7,245
2015-04-03,THU,"NO EVENT",P8,98
2015-04-03,THU,"NO EVENT",P9,64
2015-04-04,FRI,"NO EVENT",P1,8
2015-04-04,FRI,"NO EVENT",P2,98
2015-04-04,FRI,"NO EVENT",P3,5
2015-04-04,FRI,"NO EVENT",P4,43
2015-04-04,FRI,"NO EVENT",P6,11
2015-04-04,FRI,"NO EVENT",P7,335
2015-04-04,FRI,"NO EVENT",P8,37
2015-04-04,FRI,"NO EVENT",P9,33
2015-04-06,SUN,"NO EVENT",P1,4
2015-04-06,SUN,"NO EVENT",P2,35
2015-04-06,SUN,"NO EVENT",P3,9
2015-04-06,SUN,"NO EVENT",P4,47
2015-04-06,SUN,"NO EVENT",P6,7
2015-04-06,SUN,"NO EVENT",P7,465
2015-04-06,SUN,"NO EVENT",P8,14
2015-04-06,SUN,"NO EVENT",P9,5
2015-04-07,MON,"NO EVENT",P1,13
2015-04-07,MON,"NO EVENT",P2,42
2015-04-07,MON,"NO EVENT",P3,10
2015-04-07,MON,"NO EVENT",P4,44
2015-04-07,MON,"NO EVENT",P6,19
2015-04-07,MON,"NO EVENT",P7,447
2015-04-07,MON,"NO EVENT",P8,4
2015-04-07,MON,"NO EVENT",P9,2
2015-04-08,TUE,"NO EVENT",P1,16
2015-04-08,TUE,"NO EVENT",P2,30
2015-04-08,TUE,"NO EVENT",P3,16
2015-04-08,TUE,"NO EVENT",P4,40
2015-04-08,TUE,"NO EVENT",P6,11
2015-04-08,TUE,"NO EVENT",P7,1125
2015-04-08,TUE,"NO EVENT",P8,3
2015-04-08,TUE,"NO EVENT",P9,2
2015-04-09,WED,"NO EVENT",P1,16
2015-04-09,WED,"NO EVENT",P2,60
2015-04-09,WED,"NO EVENT",P3,9
2015-04-09,WED,"NO EVENT",P4,54
2015-04-09,WED,"NO EVENT",P6,11
2015-04-09,WED,"NO EVENT",P7,483
2015-04-09,WED,"NO EVENT",P8,7
2015-04-09,WED,"NO EVENT",P9,4
2015-04-10,THU,"NO EVENT",P1,12
2015-04-10,THU,"NO EVENT",P2,76
2015-04-10,THU,"NO EVENT",P3,9
2015-04-10,THU,"NO EVENT",P4,40
2015-04-10,THU,"NO EVENT",P5,3
2015-04-10,THU,"NO EVENT",P6,7
2015-04-10,THU,"NO EVENT",P7,937
2015-04-10,THU,"NO EVENT",P8,8
2015-04-10,THU,"NO EVENT",P9,5
2015-04-11,FRI,"NO EVENT",P1,20
2015-04-11,FRI,"NO EVENT",P2,187
2015-04-11,FRI,"NO EVENT",P3,15
2015-04-11,FRI,"NO EVENT",P4,75
2015-04-11,FRI,"NO EVENT",P5,9
2015-04-11,FRI,"NO EVENT",P6,14
2015-04-11,FRI,"NO EVENT",P7,1139
2015-04-11,FRI,"NO EVENT",P8,43
2015-04-11,FRI,"NO EVENT",P9,16
2015-04-12,SAT,"NO EVENT",P1,32
2015-04-12,SAT,"NO EVENT",P2,188
2015-04-12,SAT,"NO EVENT",P3,15
2015-04-12,SAT,"NO EVENT",P4,66
2015-04-12,SAT,"NO EVENT",P5,5
2015-04-12,SAT,"NO EVENT",P6,5
2015-04-12,SAT,"NO EVENT",P7,968
2015-04-12,SAT,"NO EVENT",P8,14
2015-04-12,SAT,"NO EVENT",P9,5
2015-04-13,SUN,"NO EVENT",P1,27
2015-04-13,SUN,"NO EVENT",P2,193
2015-04-13,SUN,"NO EVENT",P3,33
2015-04-13,SUN,"NO EVENT",P4,104
2015-04-13,SUN,"NO EVENT",P5,5
2015-04-13,SUN,"NO EVENT",P6,17
2015-04-13,SUN,"NO EVENT",P7,1004
2015-04-13,SUN,"NO EVENT",P8,34
2015-04-13,SUN,"NO EVENT",P9,46
2015-04-14,MON,"NO EVENT",P1,5
2015-04-14,MON,"NO EVENT",P2,617
2015-04-14,MON,"NO EVENT",P3,35
2015-04-14,MON,"NO EVENT",P4,93
2015-04-14,MON,"NO EVENT",P5,10
2015-04-14,MON,"NO EVENT",P6,11
2015-04-14,MON,"NO EVENT",P7,259
2015-04-14,MON,"NO EVENT",P8,80
2015-04-14,MON,"NO EVENT",P9,65
2015-04-15,TUE,"NO EVENT",P1,8
2015-04-15,TUE,"NO EVENT",P2,427
2015-04-15,TUE,"NO EVENT",P3,9
2015-04-15,TUE,"NO EVENT",P4,70
2015-04-15,TUE,"NO EVENT",P5,2
2015-04-15,TUE,"NO EVENT",P6,22
2015-04-15,TUE,"NO EVENT",P7,1202
2015-04-15,TUE,"NO EVENT",P8,84
2015-04-15,TUE,"NO EVENT",P9,63
2015-04-16,WED,"NO EVENT",P1,15
2015-04-16,WED,"NO EVENT",P2,329
2015-04-16,WED,"NO EVENT",P3,7
2015-04-16,WED,"NO EVENT",P4,86
2015-04-16,WED,"NO EVENT",P6,21
2015-04-16,WED,"NO EVENT",P7,413
2015-04-16,WED,"NO EVENT",P8,73
2015-04-16,WED,"NO EVENT",P9,61
2015-04-17,THU,"NO EVENT",P1,6
2015-04-17,THU,"NO EVENT",P2,222
2015-04-17,THU,"NO EVENT",P3,14
2015-04-17,THU,"NO EVENT",P4,59
2015-04-17,THU,"NO EVENT",P5,5
2015-04-17,THU,"NO EVENT",P6,13
2015-04-17,THU,"NO EVENT",P7,428
2015-04-17,THU,"NO EVENT",P8,46
2015-04-17,THU,"NO EVENT",P9,29
2015-04-18,FRI,"NO EVENT",P1,2
2015-04-18,FRI,"NO EVENT",P2,195
2015-04-18,FRI,"NO EVENT",P3,23
2015-04-18,FRI,"NO EVENT",P4,55
2015-04-18,FRI,"NO EVENT",P5,7
2015-04-18,FRI,"NO EVENT",P6,5
2015-04-18,FRI,"NO EVENT",P7,296
2015-04-18,FRI,"NO EVENT",P8,33
2015-04-18,FRI,"NO EVENT",P9,25
2015-04-19,SAT,"NO EVENT",P1,14
2015-04-19,SAT,"NO EVENT",P2,151
2015-04-19,SAT,"NO EVENT",P3,15
2015-04-19,SAT,"NO EVENT",P4,46
2015-04-19,SAT,"NO EVENT",P5,12
2015-04-19,SAT,"NO EVENT",P6,9
2015-04-19,SAT,"NO EVENT",P7,159
2015-04-19,SAT,"NO EVENT",P8,20
2015-04-19,SAT,"NO EVENT",P9,18
2015-04-20,SUN,"NO EVENT",P1,12
2015-04-20,SUN,"NO EVENT",P2,101
2015-04-20,SUN,"NO EVENT",P3,8
2015-04-20,SUN,"NO EVENT",P4,76
2015-04-20,SUN,"NO EVENT",P5,6
2015-04-20,SUN,"NO EVENT",P6,18
2015-04-20,SUN,"NO EVENT",P7,513
2015-04-20,SUN,"NO EVENT",P8,24
2015-04-20,SUN,"NO EVENT",P9,23
2015-04-22,TUE,"NO EVENT",P1,11
2015-04-22,TUE,"NO EVENT",P2,229
2015-04-22,TUE,"NO EVENT",P3,14
2015-04-22,TUE,"NO EVENT",P4,52
2015-04-22,TUE,"NO EVENT",P5,5
2015-04-22,TUE,"NO EVENT",P6,8
2015-04-22,TUE,"NO EVENT",P7,465
2015-04-22,TUE,"NO EVENT",P8,28
2015-04-22,TUE,"NO EVENT",P9,10
2015-04-24,THU,"NO EVENT",P1,9
2015-04-24,THU,"NO EVENT",P2,904
2015-04-24,THU,"NO EVENT",P3,16
2015-04-24,THU,"NO EVENT",P4,73
2015-04-24,THU,"NO EVENT",P5,2
2015-04-24,THU,"NO EVENT",P6,9
2015-04-24,THU,"NO EVENT",P7,486
2015-04-24,THU,"NO EVENT",P8,15
2015-04-24,THU,"NO EVENT",P9,10
2015-04-25,FRI,"NO EVENT",P1,11
2015-04-25,FRI,"NO EVENT",P2,741
2015-04-25,FRI,"NO EVENT",P3,23
2015-04-25,FRI,"NO EVENT",P4,43
2015-04-25,FRI,"NO EVENT",P5,3
2015-04-25,FRI,"NO EVENT",P6,2
2015-04-25,FRI,"NO EVENT",P7,342
2015-04-25,FRI,"NO EVENT",P8,21
2015-04-25,FRI,"NO EVENT",P9,10
2015-04-26,SAT,"NO EVENT",P1,13
2015-04-26,SAT,"NO EVENT",P2,620
2015-04-26,SAT,"NO EVENT",P3,10
2015-04-26,SAT,"NO EVENT",P4,28
2015-04-26,SAT,"NO EVENT",P5,7
2015-04-26,SAT,"NO EVENT",P6,6
2015-04-26,SAT,"NO EVENT",P7,276
2015-04-26,SAT,"NO EVENT",P8,23
2015-04-26,SAT,"NO EVENT",P9,16
2015-04-27,SUN,"NO EVENT",P1,12
2015-04-27,SUN,"NO EVENT",P2,980
2015-04-27,SUN,"NO EVENT",P3,9
2015-04-27,SUN,"NO EVENT",P4,50
2015-04-27,SUN,"NO EVENT",P5,6
2015-04-27,SUN,"NO EVENT",P6,3
2015-04-27,SUN,"NO EVENT",P7,520
2015-04-27,SUN,"NO EVENT",P8,26
2015-04-27,SUN,"NO EVENT",P9,21
2015-04-28,MON,"NO EVENT",P1,8
2015-04-28,MON,"NO EVENT",P2,1130
2015-04-28,MON,"NO EVENT",P3,4
2015-04-28,MON,"NO EVENT",P4,86
2015-04-28,MON,"NO EVENT",P5,5
